exp_id,model_id,model_path,test_type,input_file,output_file,sr,in_peak,in_rms,out_peak,out_rms,notes
E02_pretrained_rave_nature_prior,birds_dawnchorus_b2048_r48000_z8,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_dawnchorus_b2048_r48000_z8.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_keyboard.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_dawnchorus_b2048_r48000_z8/office_keyboard__birds_dawnchorus_b2048_r48000_z8.wav,48000,1.000000,0.038327,1.085037,0.015747,call=m(x)
E02_pretrained_rave_nature_prior,birds_dawnchorus_b2048_r48000_z8,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_dawnchorus_b2048_r48000_z8.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_dawnchorus_b2048_r48000_z8/office_quiet__birds_dawnchorus_b2048_r48000_z8.wav,48000,0.053925,0.008896,0.055827,0.008159,call=m(x)
E02_pretrained_rave_nature_prior,birds_dawnchorus_b2048_r48000_z8,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_dawnchorus_b2048_r48000_z8.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet_clicking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_dawnchorus_b2048_r48000_z8/office_quiet_clicking__birds_dawnchorus_b2048_r48000_z8.wav,48000,0.191559,0.016070,0.176586,0.013722,call=m(x)
E02_pretrained_rave_nature_prior,birds_dawnchorus_b2048_r48000_z8,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_dawnchorus_b2048_r48000_z8.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_dawnchorus_b2048_r48000_z8/office_talking__birds_dawnchorus_b2048_r48000_z8.wav,48000,0.979034,0.047580,0.534595,0.019108,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_ambient_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_ambient_talking__birds_motherbird_b2048_r48000_z16.wav,48000,0.589783,0.024434,0.491720,0.025084,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_ambient_talking_2.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_ambient_talking_2__birds_motherbird_b2048_r48000_z16.wav,48000,1.000000,0.052027,1.078467,0.047805,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_keyboard.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_keyboard__birds_motherbird_b2048_r48000_z16.wav,48000,1.000000,0.038327,0.872161,0.034233,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_quiet__birds_motherbird_b2048_r48000_z16.wav,48000,0.053925,0.008896,0.064693,0.009638,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet_clicking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_quiet_clicking__birds_motherbird_b2048_r48000_z16.wav,48000,0.191559,0.016070,0.188620,0.017272,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_talking__birds_motherbird_b2048_r48000_z16.wav,48000,0.979034,0.047580,1.023576,0.039177,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_ambient_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_ambient_talking__birds_pluma_b2048_r48000_z12.wav,48000,0.589783,0.024434,0.785770,0.036030,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_quiet__birds_pluma_b2048_r48000_z12.wav,48000,0.053925,0.008896,0.056111,0.006808,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet_clicking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_quiet_clicking__birds_pluma_b2048_r48000_z12.wav,48000,0.191559,0.016070,0.250960,0.014702,call=m(x)
