reference_class,model_id,delta_distance_mean,delta_distance_std,envelope_correlation_mean,envelope_correlation_std,artifact_score_mean,artifact_score_std,percent_improved,count
birds,birds_dawnchorus_b2048_r48000_z8,-47.36697811843259,119.61749491388557,0.7097780875632953,0.31407383676015893,31.928116354151207,23.579085736072035,61.111111111111114,36
birds,birds_motherbird_b2048_r48000_z16,-90.94117009897768,188.15802421537632,0.4724275188805454,0.20328248417993744,30.13863860674048,16.60130261864506,75.0,36
birds,birds_pluma_b2048_r48000_z12,-161.73292469962388,225.94174265558945,0.6941942548258455,0.19141187620475159,43.626116663456735,33.219011120481156,91.66666666666666,36
marinemammals,humpbacks_pondbrain_b2048_r48000_z20,-2076.777849436198,2702.190950905796,0.8377385145130696,0.11127809432163126,100.34432556178476,148.78005769627038,81.81818181818183,11
marinemammals,marinemammals_pondbrain_b2048_r48000_z20,-1732.5127598450315,2393.3536747612416,0.8778726094386278,0.08612711556804957,52.990540987688824,53.127284562281176,71.875,32
water,water_pondbrain_b2048_r48000_z16,-14507.646902586588,3682.960039667671,0.9260108892422523,0.04437509904783975,39.58938786245515,22.120711276006034,100.0,36
