model_id,reference_class,input_file,output_file,distance_input,distance_output,delta_distance,envelope_correlation,artifact_score
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_keyboard_seg003.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_keyboard_seg003__birds_dawnchorus_b2048_r48000_z8.wav,568.3849469655722,596.2831838395493,27.898236873977112,0.9290113515928515,34.44362588162504
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_keyboard_seg004.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_keyboard_seg004__birds_dawnchorus_b2048_r48000_z8.wav,487.0700283458994,575.2432540216516,88.17322567575224,0.8521401691732604,44.56718091505309
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_keyboard_seg005.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_keyboard_seg005__birds_dawnchorus_b2048_r48000_z8.wav,660.7129447096979,586.8723141057762,-73.84063060392168,0.8949487096301403,13.728006860546493
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg000.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_clicking_seg000__birds_dawnchorus_b2048_r48000_z8.wav,649.5343130500166,604.7561171102527,-44.77819593976392,0.9547839712153605,21.392388607153165
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg001.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_clicking_seg001__birds_dawnchorus_b2048_r48000_z8.wav,624.9938104951276,595.9907105199367,-29.003099975190935,0.9055883100760901,22.603131394602375
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg002.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_clicking_seg002__birds_dawnchorus_b2048_r48000_z8.wav,649.9478513450066,598.7567550679239,-51.19109627708269,0.942664290921901,19.612065078921663
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg003.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_clicking_seg003__birds_dawnchorus_b2048_r48000_z8.wav,550.155681253274,567.9690344937034,17.813353240429365,0.9712897896113736,33.637139697236265
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg004.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_clicking_seg004__birds_dawnchorus_b2048_r48000_z8.wav,655.5748557146139,607.3029830502808,-48.27187266433316,0.9490957873083723,22.26645675889353
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg005.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_clicking_seg005__birds_dawnchorus_b2048_r48000_z8.wav,660.0184254895748,594.615894261121,-65.40253122845388,0.8423244586319142,23.267781896934927
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg000.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_seg000__birds_dawnchorus_b2048_r48000_z8.wav,668.591068382395,576.6396836996859,-91.95138468270909,0.9121937354354208,17.53877688444843
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg001.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_seg001__birds_dawnchorus_b2048_r48000_z8.wav,671.6110242639899,578.9741317437616,-92.63689252022823,0.9132522727695855,8.106341101940103
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg002.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_seg002__birds_dawnchorus_b2048_r48000_z8.wav,658.8774458371154,584.3035425524902,-74.5739032846252,0.9096240339853198,15.745003850492196
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg003.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_seg003__birds_dawnchorus_b2048_r48000_z8.wav,670.9522402456556,585.5414863576761,-85.41075388797947,0.9239453455048048,10.934552385217811
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg004.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_seg004__birds_dawnchorus_b2048_r48000_z8.wav,611.6400908408874,593.9971715178966,-17.642919322990792,0.9691629809659525,32.148496014762536
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg005.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_quiet_seg005__birds_dawnchorus_b2048_r48000_z8.wav,655.3987368543073,582.6896845166835,-72.7090523376238,0.8974169936451223,20.303889309264534
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_talking_seg000.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_talking_seg000__birds_dawnchorus_b2048_r48000_z8.wav,536.0117516522623,554.1112076259053,18.09945597364299,0.5727085326801451,42.76115303178119
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_talking_seg001.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_talking_seg001__birds_dawnchorus_b2048_r48000_z8.wav,624.6997998318385,630.8908697012413,6.1910698694027815,0.26897707306057017,22.452628770504024
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_talking_seg002.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_talking_seg002__birds_dawnchorus_b2048_r48000_z8.wav,543.8822034991827,617.9843450227866,74.1021415236039,0.22904532371184178,56.39245337485739
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_talking_seg003.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_talking_seg003__birds_dawnchorus_b2048_r48000_z8.wav,602.8722662938491,613.7876964376964,10.915430143847288,0.2840760955079477,62.42058754107258
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_talking_seg004.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_talking_seg004__birds_dawnchorus_b2048_r48000_z8.wav,514.2973772400258,581.7462988208748,67.44892158084906,0.1743962537910342,29.11535930364427
