group,label,path,pc1,pc2
bird_reference,bird_seg042,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg042.wav,7.732531968366313,0.7613212446034265
bird_reference,bird_seg043,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg043.wav,3.9890978617338657,-0.8373478960932291
bird_reference,bird_seg044,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg044.wav,4.408479927604831,-0.17067942056962632
bird_reference,bird_seg045,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg045.wav,6.848320217621861,0.5992192274673374
bird_reference,bird_seg046,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg046.wav,4.985266028385855,-0.5269892992015935
bird_reference,bird_seg047,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg047.wav,4.801781854301989,-0.8013954994393613
bird_reference,bird_seg048,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg048.wav,6.703000470313275,-0.3278084826969465
bird_reference,bird_seg049,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg049.wav,4.500757478796088,-0.7589142462376768
bird_reference,bird_seg050,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg050.wav,5.119929494905847,-0.8248123981942677
bird_reference,bird_seg051,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg051.wav,8.1649914508856,-2.237267981065036
bird_reference,bird_seg052,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg052.wav,5.5442162550272664,-0.5469341334120222
bird_reference,bird_seg053,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg053.wav,6.225431694266345,-0.20379646773483784
bird_reference,bird_seg054,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg054.wav,5.95806420575419,-0.45930063544926475
bird_reference,bird_seg055,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg055.wav,5.189195968246409,-1.1518646977136338
bird_reference,bird_seg056,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg056.wav,5.698009631404236,-0.7896795312850172
bird_reference,bird_seg057,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg057.wav,6.993635448991829,-0.23525172422982565
bird_reference,bird_seg058,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg058.wav,5.2470636514905555,-1.1671542481882333
bird_reference,bird_seg059,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg059.wav,4.795883520882372,-1.1442210062278877
bird_reference,bird_seg060,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg060.wav,5.141517234289311,-0.8974380303768178
bird_reference,bird_seg061,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg061.wav,3.524605733995269,-1.81192885521148
bird_reference,bird_seg062,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg062.wav,3.8268413529566625,-1.1622895335274976
bird_reference,bird_seg063,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg063.wav,5.763672534948859,-0.08752276947543158
bird_reference,bird_seg064,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg064.wav,3.5646583599226833,-1.2054283258916039
bird_reference,bird_seg065,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg065.wav,4.721565649431167,-0.523629144200952
bird_reference,bird_seg066,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg066.wav,4.3780927804232785,-0.9484553769038271
bird_reference,bird_seg067,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg067.wav,2.549990624990465,-1.5817636695911432
bird_reference,bird_seg068,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg068.wav,3.5717346630002376,-0.6965076504503551
bird_reference,bird_seg069,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg069.wav,3.3036800868334915,-1.2345486261450023
bird_reference,bird_seg070,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg070.wav,7.412277750803864,0.10365090660730442
bird_reference,bird_seg071,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg071.wav,2.738415558431879,-1.4552533447226308
bird_reference,bird_seg072,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg072.wav,4.352315340556502,-0.9072313293364432
bird_reference,bird_seg073,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg073.wav,3.7240154252009594,-0.6811407828034746
bird_reference,bird_seg074,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg074.wav,4.181883860524261,-1.059148024885138
bird_reference,bird_seg075,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg075.wav,2.4850482289589455,-1.5837707757330126
bird_reference,bird_seg076,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg076.wav,4.454871251116072,-1.1417795250269456
bird_reference,bird_seg077,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg077.wav,4.150018800922748,-0.9293153406192024
bird_reference,bird_seg078,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg078.wav,6.661946017795983,0.34535574010753894
bird_reference,bird_seg079,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg079.wav,5.527348467881707,0.02897777752238537
bird_reference,bird_seg080,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg080.wav,7.677254098521415,0.030078680285098185
bird_reference,bird_seg081,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg081.wav,5.218542501622355,-0.7878795145604215
bird_reference,bird_seg082,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg082.wav,4.478372979833844,-0.8303560779551333
bird_reference,bird_seg083,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg083.wav,5.422770833300707,-0.5644726795990658
bird_reference,bird_seg084,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg084.wav,6.673791297656532,-0.10539314328040851
bird_reference,bird_seg085,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg085.wav,3.1011051014335838,-0.970605460893224
bird_reference,bird_seg086,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg086.wav,5.284542842431328,-0.3391441241934185
bird_reference,bird_seg087,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg087.wav,5.33980782020387,-0.37570609768135027
bird_reference,bird_seg088,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg088.wav,3.5620765574267272,-1.1007969863652984
bird_reference,bird_seg089,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg089.wav,6.618237715968077,-0.027418794242980025
bird_reference,bird_seg090,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg090.wav,7.8764176292677615,0.6720539527751171
bird_reference,bird_seg091,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg091.wav,5.106797700817548,-0.548010454808183
bird_reference,bird_seg092,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg092.wav,5.747093590943234,-0.2771714358342342
bird_reference,bird_seg093,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg093.wav,6.387349174636385,-0.17233074505025908
bird_reference,bird_seg094,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg094.wav,6.139858153242735,-0.5704836481534071
bird_reference,bird_seg095,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg095.wav,6.655575215331516,-0.36829622024760733
bird_reference,bird_seg096,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg096.wav,6.338466590082501,0.1418132092075282
bird_reference,bird_seg097,/home/shruti/rave-biophilic-sound-engine/data/test/reference_eval/birds/bird_seg097.wav,5.267684924021521,-0.6211836635043317
